TELERIDE_NUMBER,STOP_NAME,STATUS,point
3863,SB Beacon Hill CTR @ Shoppers Drug Mart,ACTIVE,POINT (-114.160176655558 51.1576341970414)
6642,SB  Douglas Woods DR @ Douglas Woods HL SE,ACTIVE,POINT (-113.990161489019 50.9438495268952)
8715,NB Elbow DR @ 54 AV SW,ACTIVE,POINT (-114.081245935374 51.005548082597)
7364,WB Berkley DR @ Bermondsey RI NW,ACTIVE,POINT (-114.085544909167 51.1271667650864)
2531,EB Cornerstone AV @ 60 ST NE,ACTIVE,POINT (-113.946317684497 51.1607901011301)
6689,SB Shawville BV @ Shawville GA SE,ACTIVE,POINT (-114.063152351816 50.8990161855389)
3810,WB Coventry Hills WY @ Covewood LI NE,ACTIVE,POINT (-114.045916701739 51.1650193548721)
4961,NB 30 ST SE @ 80 AV SE,INACTIVE,POINT (-113.987804817028 50.9824767328899)
5164,NB Bermuda DR @ Beddington BV NW,ACTIVE,POINT (-114.07649870364 51.1278132824761)
2590,EB 108 AV NE @ 36 ST NE,INACTIVE,POINT (-113.980836838994 51.1509604815327)
5628,WB 98 AV SW @ 19 ST SW,INACTIVE,POINT (-114.106976489127 50.9650458860594)
3394,NB 45 ST SW @ 8 AV SW,ACTIVE,POINT (-114.152581781426 51.0448620264599)
7026,SB Sherwood BV @ Sherwood MT NW,ACTIVE,POINT (-114.155748964139 51.1612727944268)
9228,WB Midridge DR @ Midglen WY SE,ACTIVE,POINT (-114.052777993965 50.9186786199604)
5724,EB 27 AV NE @ 19 ST NE,ACTIVE,POINT (-114.010906330818 51.0768256027268)
4576,SB 37 ST SW @ 13 AV SW,INACTIVE,POINT (-114.141313503954 51.0411147540522)
